URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL
131931,Manchester,352,2008,3522008,Ringway Primary School,Rossett Avenue,Cornishway,Wythenshawe,Manchester,M22 0WW,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
131938,Manchester,352,2340,3522340,Button Lane Primary School,Button Lane,Northern Moor,,Manchester,M23 0ND,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
131979,Manchester,352,6049,3526049,Kassim Darwish Grammar School for Boys,Hartley Hall,Alexandra Road South,Chorlton-Cum-Hardy,Manchester,M16 8NH,Open,,,Independent school,Other independent school,0,1,0,11,16,Boys,Islam,Selective
132241,Manchester,352,2341,3522341,Benchill Primary School,Benchill Road,Wythenshawe,,Manchester,M22 8EJ,Open,,,Maintained school,Foundation school,1,0,0,3,11,Mixed,None,Not applicable
132905,Manchester,352,7061,3527061,North Ridge High School,Alworth Road,,Blackley,Manchester,M9 0RP,Open,,,Special school,Community special school,0,1,1,11,19,Mixed,Does not apply,Not applicable
133770,Manchester,352,2010,3522010,Ashbury Meadow Primary School,Rylance Street,Beswick,,Manchester,M11 3NA,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
134224,Manchester,352,6905,3526905,Manchester Academy,Moss Lane East,Moss Side,,Manchester,M14 4PX,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Christian,Non-selective
134479,Manchester,352,3505,3523505,Sacred Heart RC Primary School,Knutsford Road,Gorton,,Manchester,M18 7NJ,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
135027,Manchester,352,6062,3526062,Manchester Jewish School for Special Education,Manchester Jewish Community Centre,,Bury Old Road,Manchester,M7 4QY,Open,,,Special school,Other independent special school,1,1,1,4,25,Mixed,None,Not applicable
135279,Manchester,352,3506,3523506,Park View Community Primary,Varley Street,Miles Platting,,Manchester,M40 7EJ,Closed,,30-06-2024,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
135296,Manchester,352,6907,3526907,William Hulme's Grammar School,Spring Bridge Road,,,Manchester,M16 8PR,Open,,,Academy,Academy sponsor led,1,1,1,3,18,Mixed,Christian,Non-selective
135524,Manchester,352,8603,3528603,LTE Group,Whitworth House,Whitworth St,Openshaw,Manchester,M11 2WH,Open,,,College,Further education,0,1,1,14,99,Mixed,Does not apply,Not applicable
135648,Manchester,352,3507,3523507,The Divine Mercy Roman Catholic Primary School,20 Blue Moon Way,Rusholme,,Manchester,M14 7SH,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
135874,Manchester,352,6908,3526908,Manchester Enterprise Academy,Simonsway,,,Wythenshawe,M22 9RH,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply,Non-selective
136105,Manchester,352,6913,3526913,Manchester Communication Academy,Silchester Drive,Harpurhey,,Manchester,M40 8NT,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply,Non-selective
136174,Manchester,352,6914,3526914,Co-op Academy Manchester,Plant Hill Road,Higher Blackley,,Manchester,M9 0WQ,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply,Non-selective
137309,Manchester,352,4810,3524810,The King David High School,Eaton Road,Crumpsall,,Manchester,M8 5DY,Open,,,Academy,Academy converter,0,1,1,11,18,Mixed,Jewish,Non-selective
137601,Manchester,352,3040,3523040,Cheetham CofE Community Academy,Halliwell Lane,Cheetham Hill,,Manchester,M8 9FR,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Church of England,Not applicable
137689,Manchester,352,2005,3522005,E-ACT Blackley Academy,Victoria Avenue,Blackley,,Manchester,M9 0RD,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Not applicable
137801,Manchester,352,4765,3524765,Trinity CofE High School,Higher Cambridge Street,,,Manchester,M15 6HP,Open,,,Academy,Academy converter,0,1,1,11,19,Mixed,Church of England,Non-selective
137866,Manchester,352,2007,3522007,St Barnabas CofE Primary Academy,Parkhouse Street,Openshaw,,Manchester,M11 2JX,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Church of England,Not applicable
137887,Manchester,352,6006,3526006,Music Stuff,Unit 2,The Cuthbert Centre,877 Ashton Old Road,Manchester,M11 2NA,Open,,,Independent school,Other independent school,0,1,0,11,16,Mixed,None,Not applicable
138097,Manchester,352,4002,3524002,Cedar Mount Academy,Gorton Education Village,50 Wembley Road,,Gorton,M18 7DT,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,None,Non-selective
138532,Manchester,352,7043,3527043,Melland High School,Gorton Education Village,,50 Wembley Road,Gorton,M18 7DT,Open,,,Special school,Academy special converter,0,1,1,11,19,Mixed,Does not apply,Not applicable
138653,Manchester,352,2040,3522040,Briscoe Lane Academy,Briscoe Lane,Newton Heath,,Manchester,M40 2TB,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
138784,Manchester,352,2012,3522012,Rushbrook Primary Academy,Shillingford Road,Gorton,,Manchester,M18 7TN,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
138785,Manchester,352,2015,3522015,Stanley Grove Primary Academy,Stanley Grove,,Rushford Street,Longsight,M12 4NL,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
139056,Manchester,352,2016,3522016,Oasis Academy Harpur Mount,Alfred Street,Harpurhey,,Manchester,M9 5XR,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
139078,Manchester,352,2018,3522018,Seymour Road Academy,Seymour Road South,,,Manchester,M11 4PR,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
139148,Manchester,352,4281,3524281,Chorlton High School,Nell Lane,Chorlton-Cum-Hardy,,Manchester,M21 7SL,Open,,,Academy,Academy converter,0,1,0,11,16,Mixed,Does not apply,Non-selective
139263,Manchester,352,2019,3522019,Haveley Hey Community School,Nearbrook Road,Benchill,,Manchester,M22 9NS,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
139404,Manchester,352,2020,3522020,Abbey Hey Primary Academy,Abbey Hey Lane,Gorton,,Manchester,M18 8PF,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
139438,Manchester,352,2009,3522009,The Willows Primary School,Tayfield Road,Woodhouse Park,,Manchester,M22 1BQ,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
139445,Manchester,352,2323,3522323,Webster Primary School,Denmark Road,Greenheys,,Manchester,M15 6JU,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
139456,Manchester,352,4766,3524766,Saint Paul's Catholic High School,Firbank Road,Newall Green,,Manchester,M23 2YS,Open,,,Academy,Academy converter,0,1,0,11,16,Mixed,Roman Catholic,Non-selective
139458,Manchester,352,3424,3523424,St Anthony's Catholic Primary School,Dunkery Road,Woodhouse Park,,Manchester,M22 0NT,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
139467,Manchester,352,3448,3523448,Ss John Fisher and Thomas More Catholic Primary School,Woodhouse Lane,Benchill,,Manchester,M22 9NW,Open,,,Academy,Academy converter,1,0,0,2,11,Mixed,Roman Catholic,Not applicable
139497,Manchester,352,3508,3523508,King David Primary School,Wilton Polygon,,,Crumpsall,M8 5DJ,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Jewish,Not applicable
139598,Manchester,352,2022,3522022,Co-op Academy New Islington,10 Hugh Oldham Way,New Islington Marina,Ancoats,Manchester,M4 6EY,Open,,,Academy,Free schools,1,0,0,4,11,Mixed,None,Not applicable
139730,Manchester,352,4003,3524003,Connell Co-Op College,301 Alan Turing Way,,,Manchester,M11 3BS,Open,,,College,Free schools 16 to 19,0,0,1,16,19,Mixed,None,Not applicable
139790,Manchester,352,2023,3522023,Longsight Community Primary,Farrer Road,Longsight,,Manchester,M13 0QX,Open,,,Academy,Free schools,1,0,0,4,11,Mixed,None,Not applicable
139831,Manchester,352,6008,3526008,Sol Christian Academy,115,Fairfield Street,,,M12 6EL,Open,,,Independent school,Other independent school,1,1,1,2,18,Mixed,None,Not applicable
140052,Manchester,352,2014,3522014,Oasis Academy Aspinal,Broadacre Road,Gorton,,Manchester,M18 7NY,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
140130,Manchester,352,2113,3522113,Green End Primary School,Burnage Lane,Burnage,,Manchester,M19 1DR,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
140137,Manchester,352,2141,3522141,Ladybarn Primary School,Briarfield Road,Withington,,Manchester,M20 4SR,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
140314,Manchester,352,2017,3522017,Beaver Road Primary School,Beaver Road,Didsbury,,Manchester,M20 6SX,Open,,,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Not applicable
140482,Manchester,352,2024,3522024,Manchester Communication Primary Academy,49 Parkstead Drive,Harpurhey,,Manchester,M9 5QN,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
140661,Manchester,352,2025,3522025,Cravenwood Primary Academy,Cravenwood Road,Crumpsall,,Manchester,M8 5AE,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply
140692,Manchester,352,2036,3522036,Cringle Brook Primary School,388 Slade Lane,,,Levenshulme,M19 2HT,Open,,,Academy,Free schools,1,0,0,4,11,Mixed,None,Non-selective
140703,Manchester,352,4256,3524256,Burnage Academy for Boys,Burnage Lane,Burnage,,Manchester,M19 1ER,Open,,,Academy,Academy converter,0,1,0,11,16,Boys,Does not apply,Non-selective
140709,Manchester,352,2073,3522073,Crossacres Primary Academy,Crossacres Road,Wythenshawe,,Manchester,M22 5AD,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
140758,Manchester,352,3474,3523474,St Elizabeth's Catholic Primary School,Calve Croft Road,Peel Hall,Wythenshawe,Manchester,M22 5EU,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
141196,Manchester,352,4005,3524005,Levenshulme High School,Crossley Road,Levenshulme,,Manchester,M19 1FS,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Girls,Does not apply,Not applicable
141207,Manchester,352,6009,3526009,IncludEd Learning,8 Alexandra Road South,Whalley Range,,Manchester,M16 8ER,Open,,,Special school,Other independent special school,0,1,0,11,16,Mixed,None,Non-selective
141264,Manchester,352,4257,3524257,Whalley Range 11-18 High School,Wilbraham Road,Whalley Range,,Manchester,M16 8GW,Open,,,Academy,Academy converter,0,1,1,11,18,Girls,Does not apply,Non-selective
141680,Manchester,352,6010,3526010,Harpurhey Alternative Provision School,Christ Church Parish Hall,Water Street,Harpurhey,Manchester,M9 5US,Open,,,Independent school,Other independent school,0,1,0,11,16,Mixed,None,Not applicable
141689,Manchester,352,2037,3522037,St James' CofE Primary School Gorton,Stelling Street,Gorton,,Manchester,M18 8LW,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Church of England,Not applicable
141805,Manchester,352,7039,3527039,Piper Hill High School,Firbank Road,Newall Green,,Manchester,M23 2YS,Open,,,Special school,Academy special converter,0,1,1,11,19,Mixed,Does not apply,Not applicable
141884,Manchester,352,4007,3524007,Dean Trust Ardwick,345 Stockport Road,,Ardwick,Manchester,M13 0LF,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply
141966,Manchester,352,2038,3522038,Unity Community Primary,Allesley Drive,Cheetham Hill,,Manchester,M7 4YE,Open,,,Academy,Free schools,1,0,0,2,11,Mixed,None,Non-selective
141967,Manchester,352,2042,3522042,West Didsbury CE Primary School,Central Road,West Didsbury,,Manchester,M20 4ZA,Open,,,Academy,Free schools,1,0,0,4,11,Mixed,Church of England
142224,Manchester,352,6011,3526011,Manchester Vocational and Learning Academy,19 Albert Road,,,Manchester,M19 2EQ,Open,,,Independent school,Other independent school,0,1,0,11,16,Mixed,None,Not applicable
142265,Manchester,352,3305,3523305,Didsbury CofE Primary School,Elm Grove,Didsbury,,Manchester,M20 6RL,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Church of England,Not applicable
142343,Manchester,352,2004,3522004,Chorlton Park Primary,Barlow Moor Road,Chorlton-Cum-Hardy,,Manchester,M21 7HH,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
142360,Manchester,352,2338,3522338,Old Moat Primary School,Old Moat Lane,Withington,,Manchester,M20 3FN,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
142437,Manchester,352,2182,3522182,Newall Green Primary School,Firbank Road,Newall Green,Wythenshawe,Manchester,M23 2YH,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
142501,Manchester,352,2329,3522329,Old Hall Drive Academy,Old Hall Drive,Gorton,,Manchester,M18 7FU,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
142762,Manchester,352,4008,3524008,Co-op Academy North Manchester,300 Victoria Avenue East,Blackley,,Manchester,M9 7SS,Open,,,Academy,Academy sponsor led,0,1,1,11,18,Mixed,None,Non-selective
142893,Manchester,352,7000,3527000,Pioneer House High School,200 Yewtree Lane,Northern Moor,,Manchester,M23 0FF,Open,,,Special school,Free schools special,0,1,1,11,19,Mixed,Does not apply
142936,Manchester,352,2043,3522043,St Wilfrid's CofE Aided Primary School Northenden,Patterdale Road,Northenden,,Manchester,M22 4NR,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Church of England,Not applicable
143260,Manchester,352,4248,3524248,Parrs Wood High School,Wilmslow Road,East Didsbury,,Manchester,M20 5PG,Open,,,Academy,Academy converter,0,1,1,11,18,Mixed,Does not apply,Non-selective
143729,Manchester,352,4009,3524009,Didsbury High School,4 The Avenue,Didsbury,,Manchester,M20 2ET,Open,,,Academy,Free schools,0,1,1,11,18,Mixed,None,Non-selective
143763,Manchester,352,2044,3522044,Gorton Primary School,Mount Road,Gorton,,Manchester,M18 7GR,Open,,,Academy,Free schools,1,0,0,3,11,Mixed,None
144128,Manchester,352,2325,3522325,Barlow Hall Primary School,Darley Avenue,Chorlton-Cum-Hardy,,Manchester,M21 7JG,Open,,,Academy,Academy converter,1,0,0,2,11,Mixed,Does not apply,Not applicable
144131,Manchester,352,2079,3522079,Brookburn Community School,Brookburn Road,Chorlton-Cum-Hardy,,Manchester,M21 8EH,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
144494,Manchester,352,4010,3524010,The East Manchester Academy,60 Grey Mare Lane,Beswick,,Manchester,M11 3DS,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,None
144744,Manchester,352,4011,3524011,"Eden Boys' Leadership Academy, Manchester",38 Rayburn Way,,,Manchester,M8 8DT,Open,,,Academy,Free schools,0,1,1,11,18,Boys,Muslim
144745,Manchester,352,4012,3524012,"Eden Girls' Leadership Academy, Manchester",40 Rayburn Way,,,Manchester,M8 8DT,Open,,,Academy,Free schools,0,1,1,11,18,Girls,Muslim,Non-selective
144755,Manchester,352,4013,3524013,Manchester Enterprise Academy Central,Lytham Road,Levenshulme,,Manchester,M14 6PL,Open,,,Academy,Free schools,0,1,0,11,16,Mixed,None
144913,Manchester,352,2013,3522013,Rolls Crescent Primary School,Rolls Crescent,Hulme,,Manchester,M15 5FT,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
145439,Manchester,352,2002,3522002,Wilbraham Primary School,Platt Lane,Fallowfield,,Manchester,M14 7FB,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
145622,Manchester,352,2332,3522332,Oasis Academy Temple,Smedley Lane,Cheetham,Temple Primary School,Manchester,M8 8SA,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
145845,Manchester,352,7001,3527001,Grange School,Matthews Lane,Gorton,,Manchester,M12 4GR,Open,,,Special school,Academy special sponsor led,1,1,1,4,19,Mixed,Does not apply,Not applicable
145873,Manchester,352,4014,3524014,CHS South,451 Mauldeth Road West,Chorlton,,Manchester,M21 7SX,Open,,,Academy,Free schools,0,1,0,11,16,Mixed,None,Non-selective
146227,Manchester,352,2247,3522247,Co-op Academy Broadhurst,Williams Road,Moston,,Manchester,M40 0BX,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,None,Non-selective
146239,Manchester,352,4276,3524276,Wright Robinson College,Abbey Hey Lane,Gorton,,Manchester,M18 8RL,Open,,,Academy,Academy converter,0,1,0,11,16,Mixed,None,Non-selective
147885,Manchester,352,7002,3527002,Prospect House Specialist Support Primary School,56 Bank House Road,,Bank House Road,MANCHESTER,M9 8LT,Open,,,Special school,Free schools special,1,0,0,3,11,Mixed,None,Non-selective
148326,Manchester,352,2047,3522047,"St Chad's Roman Catholic Primary School, a Voluntary Academy",Balmfield Street,Cheetham,,Manchester,M8 0SP,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
148389,Manchester,352,4015,3524015,St Matthew's RC High School,Nuthurst Road,Moston,,Manchester,M40 0EW,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Roman Catholic,Non-selective
148542,Manchester,352,6016,3526016,Progress Schools - Gorton,Hideout Youth Zone,1 Queens Avenue,Manchester,,M12 5PX,Open,,,Independent school,Other independent school,0,1,0,11,16,Mixed
148544,Manchester,352,4016,3524016,Co-op Academy Belle Vue,450 Hyde Road,,,Manchester,M12 4BA,Open,,,Academy,Free schools,0,1,0,11,16,Mixed,None,Non-selective
148738,Manchester,352,3503,3523503,"Mount Carmel RC Primary School, a Voluntary Academy",Wilson Road,Blackley,,Manchester,M9 8BG,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
148965,Manchester,352,4017,3524017,Dixons Brooklands Academy,Moor Road,Wythenshawe,,Manchester,M23 9BP,Open,,,Academy,Academy sponsor led,0,1,1,11,19,Mixed,Does not apply,Non-selective
149201,Manchester,352,6020,3526020,The Greens ENS,202 Droylsden Road,Newton Heath,Manchester,Greater Manchester,M40 1NZ,Open,,,Special school,Other independent special school,1,1,0,5,14,Mixed,None
149453,Manchester,352,5200,3525200,"St Kentigern's RC Primary School, a Voluntary Academy",Bethnall Drive,Fallowfield,,Manchester,M14 7ED,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
149671,Manchester,352,2049,3522049,Lily Lane Primary School,74 Kenyon Lane,Moston,,Manchester,M40 9JP,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
149697,Manchester,352,4018,3524018,Dixons Newall Green Academy,Greenbrow Road,,,Manchester,M23 2SX,Open,,,Academy,Free schools,0,1,0,11,16,Mixed,None,Non-selective
149867,Manchester,352,2050,3522050,Crosslee Community Primary School,Crosslee Road,Blackley,,Manchester,M9 6TG,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
150009,Manchester,352,4271,3524271,Abraham Moss Community School,Crescent Road,Crumpsall,,Manchester,M8 5UF,Open,,,Academy,Academy converter,1,1,0,3,16,Mixed,Does not apply,Non-selective
150525,Manchester,352,6034,3526034,The Watkin Centre,14 Royle Green Road,Northenden,,Manchester,M22 4NG,Open,25-04-2024,,Special school,Other independent special school,0,1,0,11,16,Mixed
150600,Manchester,352,3506,3523506,Park View Community Primary Academy,Varley Street,Miles Platting,,Manchester,M40 7EJ,Open,01-07-2024,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
150612,Manchester,352,2052,3522052,Co-op Academy Medlock,Wadeson Road,Chorlton-on-Medlock,,Manchester,M13 9UJ,Open,01-01-2024,,Academy,Academy sponsor led,1,0,0,2,11,Mixed,Does not apply,Not applicable
150650,Manchester,352,2053,3522053,"St Francis RC Primary School, A Voluntary Academy",Ellenbrook Close,Gorton,,Manchester,M12 5LZ,Open,01-04-2024,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Roman Catholic
150693,Manchester,352,2054,3522054,Peel Hall Primary Academy,Ashurst Road,Wythenshawe,,Manchester,M22 5AU,Open,01-09-2024,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
150714,Manchester,352,2055,3522055,"The Olive School, Manchester",151 Heywood Street,,,Manchester,M8 0DF,Open,01-09-2024,,Academy,Free schools,1,0,0,4,11,Mixed,Muslim,Non-selective
150774,Manchester,352,2056,3522056,Crown Street Primary School,19 Silvercroft Street,,,Manchester,M15 4ZB,Open,01-09-2024,,Academy,Free schools,1,0,0,3,11,Mixed,None,Non-selective
151028,Manchester,352,3415,3523415,"St. Aidan's Catholic Primary School, a Voluntary Academy",Rackhouse Road,Northern Moor,,Manchester,M23 0BW,Open,01-10-2024,,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
151359,Manchester,352,3455,3523455,"St Margaret Mary's RC Primary School, a Voluntary Academy",St Margaret's Road,New Moston,,Manchester,M40 0JE,Open,01-04-2025,,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
151378,Manchester,352,7003,3527003,Camberwell Park Specialist Support School,Brookside Road,Moston,,Manchester,M40 9GJ,Open,01-04-2025,,Special school,Academy special sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
151406,Manchester,352,7042,3527042,Meade Hill School,Chain Road,Higher Blackley,,Manchester,M9 6GN,Open,01-01-2025,,Special school,Academy special converter,0,1,0,11,16,Mixed,Does not apply,Not applicable
151407,Manchester,352,7056,3527056,Southern Cross School,Roundwood Road,Northenden,,Manchester,M22 4AB,Open,01-01-2025,,Special school,Academy special converter,1,1,0,9,16,Mixed,Does not apply,Not applicable
151454,Manchester,352,3439,3523439,"St Dunstan's RC Primary School, a Voluntary Academy",Bacup Street,Moston,,Manchester,M40 9HF,Open,01-04-2025,,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
151605,Manchester,352,3440,3523440,"St Edmund's RC Primary School, a Voluntary Academy",Upper Monsall Street,Miles Platting,,Manchester,M40 8NG,Open,01-04-2025,,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
151606,Manchester,352,3460,3523460,"St Patrick's RC Primary School, a Voluntary Academy",Livesey Street,Collyhurst,,Manchester,M4 5HF,Open,01-04-2025,,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Not applicable